albania,durresi,DIAMANT INTERNATIONALL TRANSPORT & FORWARDING,"Highway Durres, Tirana km 5, Xhavzotaj, Durres, Albania",+355 (0)52 221421,www.diamant.com.al,info@diamant.com.al
albania,durresi,PELIKAN SH.P.K,"12th Floor Pallati Aleksi, Rruga Skenderbej, City of Durres, Albania",+355 (0)52 225510,www.pelikantransport.com,info@pelikantransport.com
albania,durresi,INTERNATIONAL TRANS 06,"Lagjia 3, Rruga Hamdi Troplini, Pallati Teuta Konstruksion, Durres, AL-2000, Albania",+355 (0)52 236237,www.internationaltrans06.com,info@internationaltrans06.com
albania,durresi,ARBANON.COM,"L.4 , RR.Iljaz Reka, Durres Port, Tirane, Durres, Albania, 2000, Albania",+355 67 223 4776,www.arbanon.com,info@arbanon.com
albania,durresi,DEDJA SHIPPING,"Rr. vb Taulantia ,Lagja 1, Durresi Durres, Albania, 2000, Albania",+355 5222 3230,www.dedjashipping.com,info@dedjashipping.com
albania,tirana,TNT EXPRESS ALBANIA,"Street Mine Peza No 2, Tirana, Albania",00355 692061175,www.tnt.com,vilson.duka@tnt.com
albania,tirana,SADOTRANS LOGISTICS SH. P.K.,"Rruga e Durresit, Sheshi Karl Topia, Pallati prane Ring Center Shkalla 1, K7, Ap. 45, Tirana, A...",00 355 42 31 26 26,www.sadotrans.com,sales.albania@sadotrans.com
albania,tirana,VUKAJ TRANS SHPK,"Next to Tirana Custom, Tirana, Albania",+355 68 90 98 021,www.vukaj-trans.com,info@vukaj-trans.com
albania,tirana,ALBANIAN CARGO LOGISTICS,"Tirana International Airport, Cargo Administration Building, Tirana - Albania",+355 (0) 695233164,www.acl.al/,besi@acl.al
algeria,algiers,SARL INTERNATIONAL POWER LOGISTICS (IPOL),"79 Rue Marcello Fabri, Coperative Jugurtha 07, Les Sources, Bir Mourad Rais 16015, Algeris, Alg...",+213 21 56 59 25,www.ipolcompany.com,management@ipolcompany.com
algeria,algiers,BONGIORNO ALGERIE SARL,"Villa No 32, Lot D, 16000 El Achour, Alger, Algeria",+213 (7)21 300684,www.bongiornosrl.com,bongiorno@bongiornosrl.com
algeria,algiers,TIBA INTERNATIONAL,"C.C. Zem Zem, 4eme et., 12 Route de Sidi Yahia, 16000  Algeria, Algeria",+213 (7)21 43 65 71,www.tibagroup.com,algiers@tibagroup.com
